Customer ID,Total Price
1000,6279.42
1002,5020.6
1003,41.5
1004,83.0
1005,11779.11
1006,12184.27
1007,7120.71
1008,3379.32
1011,7911.9
1013,5538.33
1014,9816.119999999999
1015,83.0
1016,103.75
1018,124.5
1019,1915.95
1020,3379.32
1021,844.83
1022,6758.64
1024,1582.38
1025,2866.76
1027,4747.14
1028,6758.64
1030,4224.15
1031,6017.56
1033,4152.88
1035,249.0
1036,4747.139999999999
1038,14976.71
1039,1729.21
1040,6329.52
1042,6059.06
1043,207.5
1047,2470.3
1048,2470.3
1049,145.25
1052,5068.98
1053,4175.64
1054,62.25
1056,1855.84
1057,9085.65
1058,4121.95
1059,3711.68
1060,4920.4
1061,2440.2
1062,6329.52
1063,4229.41
1066,4747.14
1067,3418.87
1069,145.25
1070,62.25
1071,7603.47
1073,4199.51
1074,7603.47
1077,3855.75
1079,5579.83
1080,3411.7900000000004
1083,3379.32
1085,761.84
1086,166.0
1089,3955.95
1090,741.09
1091,1689.66
1093,7120.71
1094,20.75
1096,4681.1
1097,988.12
1099,2974.26
1100,4120.41
1101,1102.44
1102,166.0
1105,1482.18
1109,2042.59
1110,207.5
1112,4446.54
1114,4747.14
1115,1883.0500000000002
1116,8351.28
1117,1689.66
1119,1482.18
1120,290.5
1122,5538.33
1123,7549.83
1124,8732.28
1125,9625.49
1127,6924.64
1129,20.75
1130,4747.14
1132,124.5
1133,8150.52
1134,18089.83
1136,844.83
1139,6329.52
1141,5124.3099999999995
1142,4175.64
1143,3379.32
1144,844.83
1145,5214.23
1147,8448.3
1148,7354.17
1149,3566.07
1150,5538.33
1151,1401.15
1152,124.5
1154,463.96
1155,9869.76
1160,83.0
1162,3379.32
1167,124.5
1168,1391.88
1169,8322.09
1170,5538.33
1171,9152.57
1174,1050.37
1175,4092.5499999999997
1177,2783.76
1178,247.03
1180,7603.47
1181,3955.95
1182,11867.849999999999
1183,710.99
1184,1391.88
1185,2534.49
1186,247.03
1187,2534.49
1188,4349.81
1189,494.06
1190,8981.91
1192,6162.81
1193,2470.3
1194,494.06
1195,3247.72
1196,4966.83
1197,8462.04
1199,1482.18
1203,7066.9400000000005
1205,1729.21
1208,844.83
1210,9189.39
1211,3130.35
1212,6758.64
1215,14724.18
1216,2373.57
1217,7256.64
1218,2534.49
1220,8635.05
1222,8448.3
1223,166.0
1224,9494.279999999999
1226,4639.599999999999
1227,1582.38
1228,5538.33
1229,494.06
1232,4747.14
1234,12672.449999999999
1235,103.75
1236,6516.27
1237,1976.24
1244,11804.1
1245,5913.81
1246,494.06
1247,4893.97
1248,4515.0199999999995
1250,5438.13
1251,4175.64
1252,7911.9
1253,12980.88
1254,2223.27
1255,311.25
1256,3164.76
1257,124.5
1258,988.12
1261,791.19
1262,3955.95
1263,11827.619999999999
1264,186.75
1265,9453.630000000001
1266,791.19
1267,1729.21
1268,13195.44
1269,186.75
1271,7005.67
1272,2470.3
1276,2964.36
1277,3626.3500000000004
