Customer ID,Add-on Total
1000,66.3
1002,60.16
1003,35.56
1004,65.78
1005,75.33
1006,133.43
1007,55.48
1008,65.85
1011,70.17
1013,57.81
1014,77.61
1015,80.0
1016,0.0
1018,70.39
1019,87.03999999999999
1020,37.13
1021,49.54
1022,73.49
1024,51.93
1025,77.78
1027,0.0
1028,0.0
1030,46.03
1031,17.79
1033,49.24
1035,33.56
1036,56.62
1038,83.95
1039,0.0
1040,92.79
1042,164.27
1043,0.0
1047,63.23
1048,0.0
1049,86.36
1052,45.46
1053,88.3
1054,79.9
1056,41.24
1057,116.77
1058,92.57
1059,71.69
1060,133.49
1061,97.89999999999999
1062,26.24
1063,6.47
1066,83.84
1067,81.55
1069,96.61
1070,6.3
1071,0.0
1073,55.040000000000006
1074,58.95
1077,25.14
1079,134.82999999999998
1080,16.65
1083,0.0
1085,101.4
1086,25.72
1089,0.0
1090,22.88
1091,14.52
1093,29.11
1094,0.0
1096,113.21
1097,51.12
1099,100.12
1100,84.57
1101,323.69
1102,0.0
1105,102.0
1109,147.59
1110,0.0
1112,112.36
1114,71.97
1115,53.95
1116,15.85
1117,48.25
1119,65.34
1120,48.52
1122,0.0
1123,60.01
1124,189.86
1125,67.21
1127,128.05
1129,0.0
1130,46.92
1132,48.93
1133,120.48
1134,215.06
1136,41.06
1139,46.71
1141,114.27
1142,33.15
1143,0.0
1144,89.92
1145,51.7
1147,85.51
1148,102.68
1149,172.41
1150,35.65
1151,76.73
1152,66.83
1154,0.0
1155,87.1
1160,57.28
1162,57.06
1167,61.43
1168,0.0
1169,54.39
1170,76.57
1171,239.13
1174,107.32
1175,108.15
1177,69.0
1178,45.32
1180,0.0
1181,35.87
1182,54.769999999999996
1183,133.13
1184,90.9
1185,0.0
1186,125.76
1187,0.0
1188,162.20999999999998
1189,0.0
1190,84.43
1192,195.45
1193,132.76
1194,0.0
1195,0.0
1196,31.26
1197,53.73
1199,22.07
1203,45.81
1205,0.0
1208,0.0
1210,31.5
1211,108.88
1212,45.67
1215,154.93
1216,60.11
1217,194.24
1218,39.54
1220,120.94
1222,71.08
1223,0.0
1224,133.05
1226,38.07
1227,70.87
1228,25.66
1229,0.0
1232,12.25
1234,57.209999999999994
1235,37.79
1236,36.620000000000005
1237,201.82
1244,205.20999999999998
1245,0.0
1246,0.0
1247,42.34
1248,135.63
1250,90.68
1251,75.04
1252,27.99
1253,79.98
1254,75.85
1255,80.62
1256,92.17
1257,84.68
1258,94.38
1261,26.35
1262,121.05
1263,54.86
1264,0.0
1265,121.0
1266,0.0
1267,0.0
1268,14.76
1269,96.66
1271,24.46
1272,40.76
1276,148.79
1277,122.75
1278,146.36
1280,23.94
1283,102.23
1286,252.21
1287,80.21
1288,8.99
1290,63.37
1292,174.81
1293,57.53
1294,16.04
1295,0.0
1296,19.74
1298,76.31
1299,53.4
1300,86.54
1301,116.47
1302,95.51
1303,95.66
1304,0.0
1305,108.03
1306,83.32
1307,109.43
1308,41.62
1309,177.41
1310,55.81
1311,100.29
1312,118.23
1313,72.50999999999999
1314,27.93
1315,47.9
1316,38.84
1317,86.47999999999999
1318,0.0
1320,16.4
1321,140.04000000000002
1324,0.0
1326,0.0
1327,158.93
1328,0.0
1329,20.49
1331,76.41
1333,94.43
1335,155.14999999999998
1337,73.27000000000001
1340,61.57
1341,20.09
1342,137.24
1344,30.62
1347,0.0
1348,156.73
1349,81.26
1350,0.0
1351,6.96
1352,188.19
1353,221.82
1354,56.83
1355,173.26999999999998
1356,51.48
1357,0.0
1358,32.67
1359,161.03
1362,41.47
1363,15.89
1364,0.0
1365,0.0
1368,99.13
1369,0.0
1372,45.370000000000005
1374,18.05
1375,84.06
1378,119.44
1379,54.56
1381,0.0
1382,47.13
1383,0.0
1385,29.62
1387,131.11
1388,117.86
1389,49.96
1390,78.25
1393,39.44
1395,0.0
1396,6.26
1398,68.22
1399,117.82000000000001
1400,72.55
1401,241.29
1402,197.68
1403,0.0
1404,83.72
1405,91.72
1406,0.0
1408,0.0
1409,80.17
1411,18.6
1416,26.79
1419,76.59
1420,0.0
1421,95.27
1422,150.86
1423,115.0
1424,10.21
1425,71.42
1427,23.67
1428,5.49
1429,43.47
1430,49.57
1431,81.0
